Trialno TrialType AttemptNo NoOfTaps Time Error
1 SmallOld 1 10 4373 0
1 SmallOld 2 16 7689 0
1 SmallOld 3 11 5261 0
1 SmallOld 4 14 6250 0
1 SmallOld 5 18 8915 0
1 SmallOld 6 10 4224 0
1 SmallOld 7 10 4749 0
1 SmallOld 8 27 15768 0
1 SmallOld 9 12 5314 0
1 SmallOld 10 20 9361 0


1 SmallNew 1 1 3040 0
1 SmallNew 2 1 1931 0
1 SmallNew 3 1 1939 0
1 SmallNew 4 2 4709 0
1 SmallNew 5 2 3079 0
1 SmallNew 6 5 6490 0
1 SmallNew 7 5 5121 0
1 SmallNew 8 6 6414 0
1 SmallNew 9 3 3782 0
1 SmallNew 10 4 3399 0


2 MediumOld 1 22 12062 0
2 MediumOld 2 12 5984 0
2 MediumOld 3 13 8611 0
2 MediumOld 4 18 9776 0
2 MediumOld 5 23 9547 0
2 MediumOld 6 11 5240 0
2 MediumOld 7 13 5661 0
2 MediumOld 8 27 14576 0
2 MediumOld 9 8 3585 0
2 MediumOld 10 15 8242 0


2 MediumNew 1 2 3045 0
2 MediumNew 2 4 4650 0
2 MediumNew 3 7 9117 2
2 MediumNew 4 1 3469 0
2 MediumNew 5 2 3205 0
2 MediumNew 6 5 5077 0
2 MediumNew 7 2 2674 0
2 MediumNew 8 3 2973 0
2 MediumNew 9 6 5381 0
2 MediumNew 10 8 9549 0


3 LargeOld 1 12 6828 0
3 LargeOld 2 11 4954 0
3 LargeOld 3 10 5713 0
3 LargeOld 4 16 8240 0
3 LargeOld 5 11 5406 0
3 LargeOld 6 15 8346 0
3 LargeOld 7 9 4180 0
3 LargeOld 8 13 8811 0
3 LargeOld 9 23 10941 0
3 LargeOld 10 12 5571 0


3 LargeNew 1 1 2557 0
3 LargeNew 2 2 3534 0
3 LargeNew 3 5 5818 0
3 LargeNew 4 1 2338 0
3 LargeNew 5 0 655 0
3 LargeNew 6 3 7566 2
3 LargeNew 7 5 10160 1
3 LargeNew 8 2 4131 0
3 LargeNew 9 1 2380 0
3 LargeNew 10 1 2426 0
